,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
theta_CL,5.762,1.701,2.959,8.966,0.027,0.059,4794.0,1263.0,1.0
theta_Vc,16.694,5.296,7.632,26.386,0.092,0.16,3918.0,1331.0,1.0
theta_Q,13.435,6.514,3.788,25.886,0.103,0.21,4997.0,1693.0,1.0
theta_Vp,11.403,6.022,2.599,22.089,0.116,0.235,4900.0,1371.0,1.0
beta_CL_CRCL,0.751,0.202,0.325,1.093,0.003,0.008,5361.0,838.0,1.0
beta_CL_WT,0.747,0.201,0.397,1.139,0.003,0.005,4726.0,1130.0,1.0
beta_Vc_WT,1.002,0.201,0.64,1.389,0.003,0.005,5274.0,1255.0,1.0
beta_CL_AGE,-0.2,0.103,-0.383,-0.009,0.002,0.003,4098.0,1289.0,1.01
omega_CL,0.236,0.174,0.0,0.543,0.005,0.005,763.0,744.0,1.01
omega_Vc,0.202,0.152,0.0,0.476,0.003,0.004,1570.0,956.0,1.0
omega_Q,0.317,0.235,0.0,0.756,0.005,0.006,1403.0,861.0,1.0
omega_Vp,0.28,0.21,0.0,0.663,0.004,0.005,1963.0,1110.0,1.0
sigma_prop,0.165,0.119,0.002,0.374,0.003,0.003,1727.0,1082.0,1.0
sigma_add,0.807,0.606,0.002,1.916,0.012,0.014,1612.0,1133.0,1.0
