,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
theta_CL,4.362,0.051,4.276,4.464,0.004,0.002,129.0,282.0,1.02
theta_Vc,15.579,0.132,15.358,15.856,0.006,0.003,424.0,674.0,1.0
theta_Q,8.778,0.443,7.97,9.578,0.022,0.011,422.0,783.0,1.0
theta_Vp,10.778,0.422,9.945,11.512,0.027,0.009,248.0,689.0,1.01
beta_CL_CRCL,0.322,0.013,0.298,0.347,0.001,0.001,115.0,190.0,1.01
beta_CL_WT,0.148,0.013,0.123,0.17,0.001,0.001,114.0,239.0,1.0
beta_Vc_WT,0.134,0.007,0.121,0.147,0.0,0.0,399.0,933.0,1.01
beta_CL_AGE,-0.02,0.012,-0.042,0.005,0.001,0.0,148.0,267.0,1.01
omega_CL,0.4,0.009,0.385,0.417,0.001,0.0,232.0,509.0,1.0
omega_Vc,0.249,0.006,0.237,0.26,0.0,0.0,346.0,760.0,1.01
omega_Q,0.5,0.083,0.349,0.662,0.009,0.004,85.0,144.0,1.03
omega_Vp,0.375,0.067,0.243,0.492,0.007,0.003,101.0,262.0,1.01
sigma_prop,0.146,0.002,0.143,0.149,0.0,0.0,1590.0,1822.0,1.0
sigma_add,0.394,0.007,0.38,0.407,0.0,0.0,2093.0,1784.0,1.0
