,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
theta_CL,4.116,0.247,3.659,4.565,0.028,0.021,79.0,83.0,1.04
theta_Vc,15.328,0.65,14.219,16.685,0.084,0.038,61.0,163.0,1.04
theta_Q,10.004,2.613,5.253,13.873,0.219,0.226,141.0,180.0,1.01
theta_Vp,11.01,2.465,6.316,15.013,0.252,0.304,113.0,71.0,1.03
beta_CL_CRCL,0.43,0.069,0.3,0.563,0.009,0.006,64.0,76.0,1.02
beta_CL_WT,0.238,0.067,0.122,0.355,0.016,0.005,18.0,78.0,1.1
beta_Vc_WT,0.183,0.032,0.127,0.24,0.003,0.002,117.0,151.0,1.02
beta_CL_AGE,-0.072,0.062,-0.19,0.044,0.011,0.005,34.0,77.0,1.03
omega_CL,0.453,0.055,0.356,0.553,0.006,0.004,83.0,157.0,1.02
omega_Vc,0.218,0.032,0.168,0.284,0.003,0.002,116.0,295.0,1.01
omega_Q,0.523,0.281,0.043,0.98,0.046,0.016,36.0,75.0,1.09
omega_Vp,0.35,0.226,0.009,0.704,0.036,0.01,37.0,91.0,1.03
sigma_prop,0.146,0.008,0.132,0.162,0.001,0.0,168.0,228.0,1.01
sigma_add,0.384,0.043,0.297,0.454,0.003,0.002,200.0,307.0,1.02
