dose,MIC,PTA_Cmax_MIC,PTA_AUC_MIC,PTA_trough,PTA_combined,n_patients
200,0.25,1.0,0.875,0.875,0.875,8
200,0.5,1.0,0.875,0.875,0.875,8
200,1.0,1.0,0.875,0.875,0.875,8
200,2.0,0.625,0.75,0.875,0.375,8
200,4.0,0.0,0.125,0.875,0.0,8
200,8.0,0.0,0.0,0.875,0.0,8
200,16.0,0.0,0.0,0.875,0.0,8
250,0.25,1.0,0.9375,1.0,0.9375,32
250,0.5,1.0,0.9375,1.0,0.9375,32
250,1.0,1.0,0.9375,1.0,0.9375,32
250,2.0,0.71875,0.75,1.0,0.625,32
250,4.0,0.0,0.03125,1.0,0.0,32
250,8.0,0.0,0.0,1.0,0.0,32
250,16.0,0.0,0.0,1.0,0.0,32
300,0.25,1.0,0.9594594594594594,1.0,0.9594594594594594,74
300,0.5,1.0,0.9324324324324325,1.0,0.9324324324324325,74
300,1.0,1.0,0.9054054054054054,1.0,0.9054054054054054,74
300,2.0,0.8108108108108109,0.7702702702702703,1.0,0.6216216216216216,74
300,4.0,0.0,0.08108108108108109,1.0,0.0,74
300,8.0,0.0,0.0,1.0,0.0,74
300,16.0,0.0,0.0,1.0,0.0,74
350,0.25,1.0,0.9367088607594937,0.9873417721518988,0.9367088607594937,79
350,0.5,1.0,0.9240506329113924,0.9873417721518988,0.9240506329113924,79
350,1.0,1.0,0.9113924050632911,0.9873417721518988,0.9113924050632911,79
350,2.0,0.810126582278481,0.7215189873417721,0.9873417721518988,0.620253164556962,79
350,4.0,0.012658227848101266,0.05063291139240506,0.9873417721518988,0.0,79
350,8.0,0.0,0.0,0.9873417721518988,0.0,79
350,16.0,0.0,0.0,0.9873417721518988,0.0,79
400,0.25,1.0,0.9318181818181818,0.9772727272727273,0.9090909090909091,88
400,0.5,1.0,0.9204545454545454,0.9772727272727273,0.8977272727272727,88
400,1.0,1.0,0.9204545454545454,0.9772727272727273,0.8977272727272727,88
400,2.0,0.9204545454545454,0.8181818181818182,0.9772727272727273,0.7727272727272727,88
400,4.0,0.022727272727272728,0.11363636363636363,0.9772727272727273,0.0,88
400,8.0,0.0,0.0,0.9772727272727273,0.0,88
400,16.0,0.0,0.0,0.9772727272727273,0.0,88
450,0.25,1.0,0.9615384615384616,0.9615384615384616,0.9230769230769231,52
450,0.5,1.0,0.9423076923076923,0.9615384615384616,0.9038461538461539,52
450,1.0,1.0,0.9423076923076923,0.9615384615384616,0.9038461538461539,52
450,2.0,1.0,0.8846153846153846,0.9615384615384616,0.8461538461538461,52
450,4.0,0.038461538461538464,0.09615384615384616,0.9615384615384616,0.019230769230769232,52
450,8.0,0.0,0.0,0.9615384615384616,0.0,52
450,16.0,0.0,0.0,0.9615384615384616,0.0,52
500,0.25,1.0,0.9285714285714286,1.0,0.9285714285714286,28
500,0.5,1.0,0.9285714285714286,1.0,0.9285714285714286,28
500,1.0,1.0,0.9285714285714286,1.0,0.9285714285714286,28
500,2.0,0.9642857142857143,0.9285714285714286,1.0,0.8928571428571429,28
500,4.0,0.07142857142857142,0.10714285714285714,1.0,0.0,28
500,8.0,0.0,0.0,1.0,0.0,28
500,16.0,0.0,0.0,1.0,0.0,28
550,0.25,1.0,0.9411764705882353,1.0,0.9411764705882353,17
550,0.5,1.0,0.9411764705882353,1.0,0.9411764705882353,17
550,1.0,1.0,0.9411764705882353,1.0,0.9411764705882353,17
550,2.0,1.0,0.9411764705882353,1.0,0.9411764705882353,17
550,4.0,0.4117647058823529,0.47058823529411764,1.0,0.35294117647058826,17
550,8.0,0.0,0.0,1.0,0.0,17
550,16.0,0.0,0.0,1.0,0.0,17
600,0.25,1.0,0.9090909090909091,0.8181818181818182,0.7272727272727273,11
600,0.5,1.0,0.8181818181818182,0.8181818181818182,0.6363636363636364,11
600,1.0,1.0,0.8181818181818182,0.8181818181818182,0.6363636363636364,11
600,2.0,1.0,0.8181818181818182,0.8181818181818182,0.6363636363636364,11
600,4.0,0.8181818181818182,0.6363636363636364,0.8181818181818182,0.36363636363636365,11
600,8.0,0.18181818181818182,0.18181818181818182,0.8181818181818182,0.0,11
600,16.0,0.0,0.0,0.8181818181818182,0.0,11
650,0.25,1.0,1.0,0.875,0.875,16
650,0.5,1.0,1.0,0.875,0.875,16
650,1.0,1.0,1.0,0.875,0.875,16
650,2.0,1.0,1.0,0.875,0.875,16
650,4.0,1.0,1.0,0.875,0.875,16
650,8.0,0.0625,0.0625,0.875,0.0,16
650,16.0,0.0,0.0,0.875,0.0,16
700,0.25,1.0,1.0,0.6956521739130435,0.6956521739130435,23
700,0.5,1.0,1.0,0.6956521739130435,0.6956521739130435,23
700,1.0,1.0,1.0,0.6956521739130435,0.6956521739130435,23
700,2.0,1.0,1.0,0.6956521739130435,0.6956521739130435,23
700,4.0,1.0,1.0,0.6956521739130435,0.6956521739130435,23
700,8.0,0.13043478260869565,0.4782608695652174,0.6956521739130435,0.043478260869565216,23
700,16.0,0.0,0.043478260869565216,0.6956521739130435,0.0,23
750,0.25,1.0,0.9428571428571428,0.8285714285714286,0.7714285714285715,35
750,0.5,1.0,0.9142857142857143,0.8285714285714286,0.7428571428571429,35
750,1.0,1.0,0.9142857142857143,0.8285714285714286,0.7428571428571429,35
750,2.0,1.0,0.9142857142857143,0.8285714285714286,0.7428571428571429,35
750,4.0,1.0,0.9142857142857143,0.8285714285714286,0.7428571428571429,35
750,8.0,0.17142857142857143,0.42857142857142855,0.8285714285714286,0.08571428571428572,35
750,16.0,0.0,0.0,0.8285714285714286,0.0,35
800,0.25,1.0,0.9642857142857143,0.8928571428571429,0.8571428571428571,56
800,0.5,1.0,0.9464285714285714,0.8928571428571429,0.8392857142857143,56
800,1.0,1.0,0.9285714285714286,0.8928571428571429,0.8214285714285714,56
800,2.0,1.0,0.9107142857142857,0.8928571428571429,0.8035714285714286,56
800,4.0,1.0,0.8928571428571429,0.8928571428571429,0.7857142857142857,56
800,8.0,0.07142857142857142,0.17857142857142858,0.8928571428571429,0.03571428571428571,56
800,16.0,0.0,0.0,0.8928571428571429,0.0,56
850,0.25,1.0,0.9056603773584906,0.8490566037735849,0.7735849056603774,53
