feature,importance
Cmax_MIC_x_baseline_crcl,0.17050956
target_score,0.13913463
Cmax_MIC,0.12219441
pk_composite,0.06274503
AUC_MIC,0.036109257
apache_ii,0.021756059
baseline_egfr,0.020997774
severity_composite,0.017662939
time_above_MIC_percent,0.016892737
AUC_above_MIC,0.016594237
k12_bayes,0.016274603
diabetes_x_baseline_crcl,0.015669541
pk_ratio,0.015619559
renal_score,0.015500982
t_half_beta,0.014591794
baseline_scr,0.014005956
age_x_baseline_scr,0.013575674
AUC_MIC_x_apache_ii,0.013306737
k10_bayes,0.0132123865
Cmax_x_weight,0.0131151015
infection_site,0.012694406
sex,0.012217078
Vss_bayes,0.01214064
baseline_crcl,0.011926449
AUC24,0.0112029845
Cmin,0.010443524
diabetes,0.010172373
baseline_albumin,0.009900349
Q_bayes,0.009331539
sofa_score,0.00921541
Vc_cv,0.009023791
fluctuation_index,0.008326979
peak_trough_ratio,0.008296173
k21_bayes,0.007570455
Cmax,0.00740142
t_half_alpha,0.0072077974
weight,0.007186556
baseline_bilirubin,0.00698782
sepsis_type,0.0066249156
age,0.0065933443
Vc_bayes,0.0065830457
bmi,0.0065794415
CL_bayes,0.0062407134
time_above_MIC,0.0059004133
Vp_bayes,0.004961006
mechanical_ventilation,0.0042752293
CL_cv,0.0039304704
elderly,0.0038502535
height,0.0037464101
time_to_peak,0.0
drug,0.0
vasopressor_use,0.0
ckd_stage,0.0
impaired_renal,0.0
obese,0.0
