feature,importance
Cmin,0.13311696
k10_bayes,0.0486011
peak_trough_ratio,0.036079627
fluctuation_index,0.028060792
elderly,0.026186055
age_x_baseline_scr,0.024891423
age,0.022485182
t_half_alpha,0.021439694
t_half_beta,0.020832816
CL_bayes,0.01976587
time_to_peak,0.019225203
k21_bayes,0.01908054
Cmax,0.018272698
mechanical_ventilation,0.017841877
Cmax_x_weight,0.017762337
AUC_above_MIC,0.017613947
Vp_bayes,0.016944734
sex,0.016886715
Cmax_MIC,0.016773764
AUC_MIC,0.016442543
diabetes_x_baseline_crcl,0.016157972
baseline_albumin,0.01605996
target_score,0.01585524
vasopressor_use,0.015332885
pk_ratio,0.015092712
CL_cv,0.01507371
Vss_bayes,0.015057891
sofa_score,0.014897446
k12_bayes,0.014805892
Q_bayes,0.014777131
infection_site,0.014655084
AUC_MIC_x_apache_ii,0.014626786
height,0.014309549
AUC24,0.014285858
pk_composite,0.014235398
renal_score,0.014102081
baseline_crcl,0.0139944665
diabetes,0.013813117
Vc_bayes,0.013561521
bmi,0.013539106
Vc_cv,0.013493998
time_above_MIC,0.013393801
weight,0.013358068
severity_composite,0.013355192
baseline_egfr,0.013244831
apache_ii,0.01294605
baseline_bilirubin,0.012922965
baseline_scr,0.012715791
Cmax_MIC_x_baseline_crcl,0.012682432
obese,0.012332575
time_above_MIC_percent,0.01037753
sepsis_type,0.006639052
drug,0.0
ckd_stage,0.0
impaired_renal,0.0
