feature,importance
drug,0.42200524
impaired_renal,0.046353046
baseline_crcl,0.045681514
baseline_egfr,0.045439113
elderly,0.042274322
age_x_baseline_scr,0.03356819
age,0.027876617
baseline_albumin,0.023439173
renal_score,0.023379661
mechanical_ventilation,0.022386512
ckd_stage,0.022134693
diabetes_x_baseline_crcl,0.020306202
height,0.01994785
weight,0.018962948
vasopressor_use,0.01882544
infection_site,0.017812954
baseline_scr,0.017714903
sofa_score,0.01769175
baseline_bilirubin,0.017593939
severity_composite,0.017402062
bmi,0.017071564
sex,0.01700179
apache_ii,0.016172923
diabetes,0.015046915
sepsis_type,0.013910733
obese,0.0
