weight,crcl,recommended_dose,dose_per_kg
40.0,30,200.0,5.0
40.0,50,200.0,5.0
40.0,75,200.0,5.0
40.0,100,200.0,5.0
40.0,130,200.0,5.0
50.0,30,200.0,4.0
50.0,50,200.0,4.0
50.0,75,200.0,4.0
50.0,100,200.0,4.0
50.0,130,200.0,4.0
60.0,30,200.0,3.3333333333333335
60.0,50,200.0,3.3333333333333335
60.0,75,200.0,3.3333333333333335
60.0,100,200.0,3.3333333333333335
60.0,130,200.0,3.3333333333333335
70.0,30,200.0,2.857142857142857
70.0,50,200.0,2.857142857142857
70.0,75,200.0,2.857142857142857
70.0,100,200.0,2.857142857142857
70.0,130,200.0,2.857142857142857
80.0,30,200.0,2.5
80.0,50,200.0,2.5
80.0,75,200.0,2.5
80.0,100,200.0,2.5
80.0,130,200.0,2.5
90.0,30,200.0,2.2222222222222223
90.0,50,200.0,2.2222222222222223
90.0,75,200.0,2.2222222222222223
90.0,100,200.0,2.2222222222222223
90.0,130,200.0,2.2222222222222223
100.0,30,200.0,2.0
100.0,50,200.0,2.0
100.0,75,200.0,2.0
100.0,100,200.0,2.0
100.0,130,200.0,2.0
